ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
441,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,image,"{""id"":""230"",""table"":""favicon.ico""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Menu\/delete\/id\/230\/table\/admin_menu.html',\n  'accept' => 'image\/webp,image\/apng,image\/*,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '230',\n  'table' => 'favicon.ico',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000867s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006401s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000517s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000453s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.005688s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000333s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 230 LIMIT 1 [ RunTime:0.000271s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 230 [ RunTime:0.000421s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (230) [ RunTime:0.000317s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.006019s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000303s ]""]}",1573921913
442,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,xml,"{""id"":""229"",""table"":""admin_menu""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'accept' => 'text\/html,application\/xhtml+xml,application\/xml;q=0.9,image\/webp,image\/apng,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'upgrade-insecure-requests' => '1',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '229',\n  'table' => 'admin_menu',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010906s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.006159s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000349s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.005586s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 229 LIMIT 1 [ RunTime:0.000364s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 229 [ RunTime:0.000396s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (229) [ RunTime:0.000347s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 229 [ RunTime:0.000299s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.004850s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000260s ]""]}",1573921920
443,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,image,"{""id"":""229"",""table"":""favicon.ico""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Menu\/delete\/id\/229\/table\/admin_menu.html',\n  'accept' => 'image\/webp,image\/apng,image\/*,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '229',\n  'table' => 'favicon.ico',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000594s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.005754s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000562s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000498s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.004806s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000221s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 229 LIMIT 1 [ RunTime:0.000259s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 229 [ RunTime:0.000429s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (229) [ RunTime:0.000281s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.005375s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000207s ]""]}",1573921920
444,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,xml,"{""id"":""228"",""table"":""admin_menu""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'accept' => 'text\/html,application\/xhtml+xml,application\/xml;q=0.9,image\/webp,image\/apng,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'upgrade-insecure-requests' => '1',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '228',\n  'table' => 'admin_menu',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000678s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.007241s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000275s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.004974s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 228 LIMIT 1 [ RunTime:0.000305s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 228 [ RunTime:0.000319s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (228) [ RunTime:0.000287s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 228 [ RunTime:0.000255s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.004892s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000262s ]""]}",1573921929
445,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,image,"{""id"":""228"",""table"":""favicon.ico""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Menu\/delete\/id\/228\/table\/admin_menu.html',\n  'accept' => 'image\/webp,image\/apng,image\/*,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '228',\n  'table' => 'favicon.ico',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000806s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007705s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000649s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.001015s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.005814s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000369s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 228 LIMIT 1 [ RunTime:0.000460s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 228 [ RunTime:0.000367s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (228) [ RunTime:0.000366s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.006189s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000495s ]""]}",1573921929
446,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,xml,"{""id"":""227"",""table"":""admin_menu""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'accept' => 'text\/html,application\/xhtml+xml,application\/xml;q=0.9,image\/webp,image\/apng,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'upgrade-insecure-requests' => '1',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '227',\n  'table' => 'admin_menu',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000759s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.005580s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000366s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006159s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 227 LIMIT 1 [ RunTime:0.000373s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 227 [ RunTime:0.000363s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (227) [ RunTime:0.000306s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 227 [ RunTime:0.000335s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.005835s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000294s ]""]}",1573921989
447,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,image,"{""id"":""227"",""table"":""favicon.ico""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Menu\/delete\/id\/227\/table\/admin_menu.html',\n  'accept' => 'image\/webp,image\/apng,image\/*,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '227',\n  'table' => 'favicon.ico',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000707s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006011s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000436s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000489s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.006279s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000380s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 227 LIMIT 1 [ RunTime:0.000450s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 227 [ RunTime:0.000446s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (227) [ RunTime:0.000317s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.005422s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000262s ]""]}",1573921989
448,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,xml,"{""id"":""226"",""table"":""admin_menu""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'accept' => 'text\/html,application\/xhtml+xml,application\/xml;q=0.9,image\/webp,image\/apng,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'upgrade-insecure-requests' => '1',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '226',\n  'table' => 'admin_menu',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011224s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.007312s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000383s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.005350s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 226 LIMIT 1 [ RunTime:0.000504s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 226 [ RunTime:0.000375s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (226) [ RunTime:0.000341s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 226 [ RunTime:0.000275s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.004861s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000244s ]""]}",1573921997
449,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,image,"{""id"":""226"",""table"":""favicon.ico""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/Menu\/delete\/id\/226\/table\/admin_menu.html',\n  'accept' => 'image\/webp,image\/apng,image\/*,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '226',\n  'table' => 'favicon.ico',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011063s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.004838s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000444s ]"",""[ SQL ] SELECT `id`,`pid`,`module`,`title`,`url_value`,`url_type`,`url_target`,`icon`,`params` FROM `dp_admin_menu` WHERE  `status` = 1  AND `pid` = 0 ORDER BY `sort`,`id` [ RunTime:0.000710s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.007109s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000280s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 226 LIMIT 1 [ RunTime:0.000368s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 226 [ RunTime:0.000349s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (226) [ RunTime:0.000267s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.006760s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000341s ]""]}",1573921997
450,menu_delete,,,127.0.0.1,http://www.wd.com,admin,Menu,delete,xml,"{""id"":""225"",""table"":""admin_menu""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'accept' => 'text\/html,application\/xhtml+xml,application\/xml;q=0.9,image\/webp,image\/apng,*\/*;q=0.8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'upgrade-insecure-requests' => '1',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '225',\n  'table' => 'admin_menu',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010060s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_icon` [ RunTime:0.005732s ]"",""[ SQL ] SELECT * FROM `dp_admin_icon` WHERE  `status` = 1 [ RunTime:0.000436s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006251s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 225 LIMIT 1 [ RunTime:0.000376s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_menu` WHERE  `pid` = 225 [ RunTime:0.000358s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` IN (225) [ RunTime:0.000287s ]"",""[ SQL ] DELETE FROM `dp_admin_menu` WHERE  `id` = 225 [ RunTime:0.000249s ]"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_role` [ RunTime:0.005032s ]"",""[ SQL ] SELECT `id` FROM `dp_admin_role` [ RunTime:0.000323s ]""]}",1573922003
