ID,行为名称,执行者用户id,执行用户,执行行为者ip,请求域名,请求模块,请求控制器,请求操作,请求类型,请求参数,详细信息,生成时间
461,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""38"",""pid"":""33"",""module"":""admin"",""title"":""启用1"",""icon"":"""",""url_type"":"""",""url_value"":""admin\/module\/enable"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""5"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467689294"",""update_time"":""1568614537"",""_level"":""3"",""extend_field"":""title"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '259',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '38',\n  'pid' => '33',\n  'module' => 'admin',\n  'title' => '启用1',\n  'icon' => '',\n  'url_type' => '',\n  'url_value' => 'admin\/module\/enable',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '5',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467689294',\n  'update_time' => '1568614537',\n  '_level' => '3',\n  'extend_field' => 'title',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000785s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007173s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 38 LIMIT 1 [ RunTime:0.000357s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `title` = '启用1'  WHERE  `id` = 38 [ RunTime:0.000325s ]""]}",1574059034
462,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""38"",""pid"":""33"",""module"":""admin"",""title"":""启用"",""icon"":"""",""url_type"":"""",""url_value"":""admin\/module\/enable"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""5"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467689294"",""update_time"":""1568614537"",""_level"":""3"",""extend_field"":""title"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '258',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '38',\n  'pid' => '33',\n  'module' => 'admin',\n  'title' => '启用',\n  'icon' => '',\n  'url_type' => '',\n  'url_value' => 'admin\/module\/enable',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '5',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467689294',\n  'update_time' => '1568614537',\n  '_level' => '3',\n  'extend_field' => 'title',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000932s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007725s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 38 LIMIT 1 [ RunTime:0.000340s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `title` = '启用'  WHERE  `id` = 38 [ RunTime:0.000299s ]""]}",1574059036
463,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""1"",""module"":""admin"",""pid"":""0"",""title"":""首页1"",""url_value"":""admin\/index\/index"",""params"":"""",""url_target"":""_self"",""system_menu"":""1"",""is_hide"":""0"",""icon"":""fa fa-fw fa-home"",""sort"":""1"",""remarks"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/edit.html?id=1',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryAVCABhSGXinMllin',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1217',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'module' => 'admin',\n  'pid' => '0',\n  'title' => '首页1',\n  'url_value' => 'admin\/index\/index',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '1',\n  'is_hide' => '0',\n  'icon' => 'fa fa-fw fa-home',\n  'sort' => '1',\n  'remarks' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000650s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.004768s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 1  AND `module` = 'admin' LIMIT 1 [ RunTime:0.000391s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 1  AND `module` = 'admin' LIMIT 1 [ RunTime:0.000291s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `id` = 1 , `module` = 'admin' , `pid` = 0 , `title` = '首页1' , `url_value` = 'admin\/index\/index' , `params` = '' , `url_target` = '_self' , `system_menu` = 1 , `is_hide` = 0 , `icon` = 'fa fa-fw fa-home' , `sort` = 1  WHERE  `id` = 1  AND `module` = 'admin' [ RunTime:0.000327s ]""]}",1574059388
464,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""1"",""module"":""admin"",""pid"":""0"",""title"":""首页"",""url_value"":""admin\/index\/index"",""params"":"""",""url_target"":""_self"",""system_menu"":""1"",""is_hide"":""0"",""icon"":""fa fa-fw fa-home"",""sort"":""1"",""remarks"":""""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/edit.html?id=1',\n  'content-type' => 'multipart\/form-data; boundary=----WebKitFormBoundaryUQkOAE6TS2SO5N3p',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '1216',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'module' => 'admin',\n  'pid' => '0',\n  'title' => '首页',\n  'url_value' => 'admin\/index\/index',\n  'params' => '',\n  'url_target' => '_self',\n  'system_menu' => '1',\n  'is_hide' => '0',\n  'icon' => 'fa fa-fw fa-home',\n  'sort' => '1',\n  'remarks' => '',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011178s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.004598s ]"",""[ SQL ] SELECT * FROM `dp_admin_menu` WHERE  `id` = 1  AND `module` = 'admin' LIMIT 1 [ RunTime:0.000335s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 1  AND `module` = 'admin' LIMIT 1 [ RunTime:0.000286s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `id` = 1 , `module` = 'admin' , `pid` = 0 , `title` = '首页' , `url_value` = 'admin\/index\/index' , `params` = '' , `url_target` = '_self' , `system_menu` = 1 , `is_hide` = 0 , `icon` = 'fa fa-fw fa-home' , `sort` = 1  WHERE  `id` = 1  AND `module` = 'admin' [ RunTime:0.000281s ]""]}",1574059395
465,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""3"",""pid"":""2"",""module"":""admin"",""title"":""清空缓存"",""icon"":""fa fa-fw fa-trash-o"",""url_type"":"""",""url_value"":""admin\/index\/wipecache"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""3"",""system_menu"":""0"",""status"":""1"",""create_time"":""1467618273"",""update_time"":""1568614537"",""_level"":""2"",""extend_field"":""system_menu"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '301',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '3',\n  'pid' => '2',\n  'module' => 'admin',\n  'title' => '清空缓存',\n  'icon' => 'fa fa-fw fa-trash-o',\n  'url_type' => '',\n  'url_value' => 'admin\/index\/wipecache',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '3',\n  'system_menu' => '0',\n  'status' => '1',\n  'create_time' => '1467618273',\n  'update_time' => '1568614537',\n  '_level' => '2',\n  'extend_field' => 'system_menu',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000742s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007744s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 3 LIMIT 1 [ RunTime:0.000449s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `system_menu` = 0  WHERE  `id` = 3 [ RunTime:0.000331s ]""]}",1574059899
466,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""3"",""pid"":""2"",""module"":""admin"",""title"":""清空缓存"",""icon"":""fa fa-fw fa-trash-o"",""url_type"":"""",""url_value"":""admin\/index\/wipecache"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""3"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467618273"",""update_time"":""1568614537"",""_level"":""2"",""extend_field"":""system_menu"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'cache-control' => 'no-cache',\n  'pragma' => 'no-cache',\n  'content-length' => '301',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '3',\n  'pid' => '2',\n  'module' => 'admin',\n  'title' => '清空缓存',\n  'icon' => 'fa fa-fw fa-trash-o',\n  'url_type' => '',\n  'url_value' => 'admin\/index\/wipecache',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '3',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467618273',\n  'update_time' => '1568614537',\n  '_level' => '2',\n  'extend_field' => 'system_menu',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010690s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007501s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 3 LIMIT 1 [ RunTime:0.000332s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `system_menu` = 1  WHERE  `id` = 3 [ RunTime:0.000270s ]""]}",1574059903
467,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""11"",""pid"":""7"",""module"":""admin"",""title"":""启用"",""icon"":"""",""url_type"":"""",""url_value"":""admin\/config\/enable"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""4"",""system_menu"":""0"",""status"":""1"",""create_time"":""1467619609"",""update_time"":""1568614537"",""_level"":""3"",""extend_field"":""system_menu"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '263',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '11',\n  'pid' => '7',\n  'module' => 'admin',\n  'title' => '启用',\n  'icon' => '',\n  'url_type' => '',\n  'url_value' => 'admin\/config\/enable',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '4',\n  'system_menu' => '0',\n  'status' => '1',\n  'create_time' => '1467619609',\n  'update_time' => '1568614537',\n  '_level' => '3',\n  'extend_field' => 'system_menu',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011031s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.007223s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 11 LIMIT 1 [ RunTime:0.000342s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `system_menu` = 0  WHERE  `id` = 11 [ RunTime:0.000244s ]""]}",1574059913
468,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""11"",""pid"":""7"",""module"":""admin"",""title"":""启用"",""icon"":"""",""url_type"":"""",""url_value"":""admin\/config\/enable"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""4"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467619609"",""update_time"":""1568614537"",""_level"":""3"",""extend_field"":""system_menu"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '263',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '11',\n  'pid' => '7',\n  'module' => 'admin',\n  'title' => '启用',\n  'icon' => '',\n  'url_type' => '',\n  'url_value' => 'admin\/config\/enable',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '4',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467619609',\n  'update_time' => '1568614537',\n  '_level' => '3',\n  'extend_field' => 'system_menu',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.011358s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.005255s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 11 LIMIT 1 [ RunTime:0.000328s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `system_menu` = 1  WHERE  `id` = 11 [ RunTime:0.000245s ]""]}",1574059916
469,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""1"",""pid"":""0"",""module"":""admin"",""title"":""首页"",""icon"":""fa fa-fw fa-home"",""url_type"":""module_admin"",""url_value"":""admin\/index\/index1"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""1"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467617722"",""update_time"":""1574059240"",""_level"":""0"",""extend_field"":""url_value"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '287',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'pid' => '0',\n  'module' => 'admin',\n  'title' => '首页',\n  'icon' => 'fa fa-fw fa-home',\n  'url_type' => 'module_admin',\n  'url_value' => 'admin\/index\/index1',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '1',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467617722',\n  'update_time' => '1574059240',\n  '_level' => '0',\n  'extend_field' => 'url_value',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.010706s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.005660s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 1 LIMIT 1 [ RunTime:0.000319s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `url_value` = 'admin\/index\/index1'  WHERE  `id` = 1 [ RunTime:0.000393s ]""]}",1574059934
470,menu_edit,,,127.0.0.1,http://www.wd.com,admin,Menu,edit,json,"{""id"":""1"",""pid"":""0"",""module"":""admin"",""title"":""首页"",""icon"":""fa fa-fw fa-home"",""url_type"":""module_admin"",""url_value"":""admin\/index\/index"",""url_target"":""_self"",""is_hide"":""0"",""params"":"""",""sort"":""1"",""system_menu"":""1"",""status"":""1"",""create_time"":""1467617722"",""update_time"":""1574059240"",""_level"":""0"",""extend_field"":""url_value"",""extend_action"":""true"",""group"":""admin""}","{""info"":[""[ LANG ] D:\\pj\\php\\wdadmin\\thinkphp\\lang\\zh-cn.php"",""[ ROUTE ] array (\n)"",""[ HEADER ] array (\n  'cookie' => 'PHPSESSID=l6sl7ijh1eib7r17lq8q63bk4m',\n  'accept-language' => 'zh-CN,zh;q=0.9',\n  'accept-encoding' => 'gzip, deflate',\n  'referer' => 'http:\/\/www.wd.com\/admin.php\/admin\/menu\/index.html',\n  'content-type' => 'application\/x-www-form-urlencoded; charset=UTF-8',\n  'user-agent' => 'Mozilla\/5.0 (Windows NT 10.0; WOW64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/69.0.3497.100 Safari\/537.36',\n  'x-requested-with' => 'XMLHttpRequest',\n  'origin' => 'http:\/\/www.wd.com',\n  'accept' => 'application\/json, text\/javascript, *\/*; q=0.01',\n  'content-length' => '286',\n  'connection' => 'close',\n  'host' => 'www.wd.com',\n)"",""[ PARAM ] array (\n  'id' => '1',\n  'pid' => '0',\n  'module' => 'admin',\n  'title' => '首页',\n  'icon' => 'fa fa-fw fa-home',\n  'url_type' => 'module_admin',\n  'url_value' => 'admin\/index\/index',\n  'url_target' => '_self',\n  'is_hide' => '0',\n  'params' => '',\n  'sort' => '1',\n  'system_menu' => '1',\n  'status' => '1',\n  'create_time' => '1467617722',\n  'update_time' => '1574059240',\n  '_level' => '0',\n  'extend_field' => 'url_value',\n  'extend_action' => 'true',\n  'group' => 'admin',\n)"",""[ DB ] INIT mysql""],""sql"":[""[ DB ] CONNECT:[ UseTime:0.000720s ] mysql:host=127.0.0.1;port=3306;dbname=exdntadmin;charset=utf8"",""[ SQL ] SHOW COLUMNS FROM `dp_admin_menu` [ RunTime:0.006497s ]"",""[ SQL ] SELECT `module` FROM `dp_admin_menu` WHERE  `id` = 1 LIMIT 1 [ RunTime:0.000461s ]"",""[ SQL ] UPDATE `dp_admin_menu`  SET `url_value` = 'admin\/index\/index'  WHERE  `id` = 1 [ RunTime:0.000390s ]""]}",1574059936
